Class;DesignRole;Approaches;Method;LOC;CC;Efferent;NOP;Smell;
br.gov.se.sefaz.sae.ne.EntidadeUnidadeTalao;ENTITY; D ;getEntidadeUnidade;4;2;2;0;Muitos Desvios
br.gov.se.sefaz.sae.tb.arquivo.ProcessarArquivoRecebidoBase;BACKGROUNDPROCESS; R, D ;DocumentoArrecadacao;16;1;5;14;Muitos Parâmetros
br.gov.se.sefaz.sae.ng.GerenciadorGNRE;UNDEFINED; R, D ;converterEntidadeGNRE;154;39;18;1;Método Longo
br.gov.se.sefaz.sae.ng.GerenciadorOperacional;GERENCIADORBASE; R, D ;alterarItensDED;103;113;9;5;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;GERENCIADORBASE; R, D ;registrarRecolhimento;148;61;26;3;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaFiscalizacao;CONSULTAAVANCADATRANSBASE; R, D ;montarFiltroArg;375;44;15;4;Método Longo
br.gov.se.sefaz.sae.ti.SAEIntegracaoSRC;UNDEFINED; R, D ;obterVencimentoReceita;3;1;5;13;Muitos Parâmetros
br.gov.se.sefaz.sae.concBanc.ng.GerenciadorRepasse;GERENCIADORBASE; R, D ;consultarRepasseFunprevporPeriodo;26;10;6;5;Muitos Parâmetros
br.gov.se.sefaz.sae.oper.to.desmembramento.itemDae.ListarItensDesmembramentoDAE;TRANSACAO; R, D ;registrarDesemembramentoItemDAE;222;80;15;4;Método Longo
br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;GERENCIADORBASE; R, D ;alterarDocOrigemTpDocDAE;16;2;9;5;Muitos Parâmetros
br.gov.se.sefaz.sae.consultas.to.documento.IdentificacaoDoc;TRANSACAO; R, D ;montaDocItemsCons;39;5;12;6;Muitos Parâmetros
br.gov.se.sefaz.sae.emissaoDAE.to.sit.EmitirDAEMensal;TRANSACAO; R, D ;comparaDataInicialFinal;8;8;2;6;Muitos Parâmetros
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R, D ;atribuirItemDAEContribuinteInscrito;135;56;20;3;Muitos Desvios
br.gov.se.sefaz.sae.ne.EntidadeICMSContribNaoInsc;ENTITY; D ;getEntidadeFormaRecolhimento;4;2;2;0;Muitos Desvios
br.gov.se.sefaz.sae.consultas.to.ConsultarDetalheDAE;TRANSACAOOPERACIONAL; R, D ;getOcorrenciasNavegacao;87;39;11;2;Muitos Desvios
br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoGNREOnLine;BACKGROUNDPROCESS; D ;consultaEnvioArqConsolidado;7;1;5;3;Muitos Parâmetros
br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;GNRE; R, D ;setGNRE;186;57;23;3;Método Longo
