Classe;DesignRole;NOM;LOCC;Concorda?;
br.gov.se.sefaz.scc.to.grupoContaCorrente.ExcluirSubGrupoContaCorrente;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.scc.to.contaCorrente.ConsultaInternetCC;TRANSACAO;1;4;SIM;
br.gov.se.sefaz.scc.to.contaCorrente.ConsultaIntranetCC;TRANSACAO;1;4;SIM;
br.gov.se.sefaz.scc.to.grupoContaCorrente.ExcluirGrupoContaCorrente;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.scc.to.lancamento.ConsultaLancamentosManuais;TRANSACAO;2;66;SIM;
br.gov.se.sefaz.scc.to.estagioContaCorrente.InserirEstagioContaCorrente;TRANSACAO;2;17;SIM;
br.gov.se.sefaz.scc.to.contaCorrente.ConsultaAvancadaCC;TRANSACAO;14;387;SIM;
br.gov.se.sefaz.scc.to.contaCorrente.ConsultaDeclaracaoMensalCC;TRANSACAO;4;75;SIM;
br.gov.se.sefaz.scc.to.grupoContaCorrente.AlterarSubGrupoContaCorrente;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.scc.to.teste.TesteIntegracaoSIT;TRANSACAO;1;7;SIM;
br.gov.se.sefaz.scc.to.tipoDocumentoCC.ExcluirTipoDocumentoCC;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.scc.to.tipoLancamento.AlterarTipoLancamento;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.scc.to.grupoContaCorrente.AlterarGrupoContaCorrente;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.scc.to.tipoOperacao.ExcluirTipoOperacao;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.scc.to.tipoDocumentoCC.InserirTipoDocumentoCC;TRANSACAO;2;17;SIM;
br.gov.se.sefaz.scc.to.estagioContaCorrente.ExcluirEstagioContaCorrente;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.scc.to.tipoLancamento.InserirTipoLancamento;TRANSACAO;2;17;SIM;
br.gov.se.sefaz.scc.to.estagioContaCorrente.AlterarEstagioContaCorrente;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.scc.to.tipoOperacao.AlterarTipoOperacao;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.scc.to.lancamento.ConsultaLancamento;TRANSACAO;8;386;SIM;
br.gov.se.sefaz.scc.to.grupoContaCorrente.InserirGrupoContaCorrente;TRANSACAO;2;17;SIM;
br.gov.se.sefaz.scc.to.grupoContaCorrente.InserirSubGrupoContaCorrente;TRANSACAO;2;18;SIM;
br.gov.se.sefaz.scc.to.tipoDocumentoCC.AlterarTipoDocumentoCC;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.scc.to.grupoContaCorrente.ExcluirGrupoSubGrupoCC;TRANSACAO;1;8;SIM;
br.gov.se.sefaz.scc.to.TransacaoSCC;TRANSACAO;1;9;SIM;
br.gov.se.sefaz.scc.to.lancamento.InserirLancamento;TRANSACAO;6;147;SIM;
br.gov.se.sefaz.scc.to.formareceitaefd.ExcluirFormaReceitaEFD;TRANSACAO;1;9;SIM;
br.gov.se.sefaz.scc.to.tipoLancamento.ExcluirTipoLancamento;TRANSACAO;2;14;SIM;
br.gov.se.sefaz.sge.dao.DAOAgendaSetorialSQLBean;PERSISTENCE;12;200;SIM;
br.gov.se.sefaz.sge.dao.DAOAssuntoAgendaSQLBean;PERSISTENCE;9;71;SIM;
br.gov.se.sefaz.sge.dao.DAOAgendaIndividualSQLBean;PERSISTENCE;11;184;SIM;
br.gov.se.sefaz.sge.dao.DAOAtividadeAgendaSQLBean;PERSISTENCE;9;71;SIM;
br.gov.se.sefaz.sge.dao.util.DAOUtilSQLBean;PERSISTENCE;5;29;SIM;
